sample	contig	coverage
bc2113	contig_3554	4.24335
bc2113	contig_192	2.61409
bc2113	contig_3555	3.4917
bc2113	contig_193	5.91235
bc2113	contig_3556	8.87168
bc2113	contig_194	4.32873
bc2113	contig_3557	3.54092
bc2113	contig_3558	3.50983
bc2113	contig_196	11.0252
bc2113	contig_3559	3.56336
bc2113	contig_197	5.52125
bc2113	contig_198	7.39234
bc2113	contig_2230	4.22404
bc2113	contig_2231	3.31632
bc2113	contig_2232	2.76254
bc2113	contig_2233	4.60525
bc2113	contig_652	6.21229
bc2113	contig_2234	3.73209
bc2113	contig_2235	4.09192
bc2113	contig_2236	2.97399
bc2113	contig_655	3.0324
bc2113	contig_2237	3.25592
bc2113	contig_656	2.82138
bc2113	contig_2238	3.07081
bc2113	contig_2239	4.02315
bc2113	contig_3560	3.07893
bc2113	contig_3561	4.58033
bc2113	contig_3562	2.89383
bc2113	contig_3563	3.39074
bc2113	contig_3564	3.41311
bc2113	contig_3565	5.44107
bc2113	contig_3566	3.41832
bc2113	contig_3567	2.89128
bc2113	contig_3568	4.56335
bc2113	contig_3569	5.37792
bc2113	contig_2240	4.50937
bc2113	contig_2241	2.5001
bc2113	contig_660	3.15622
bc2113	contig_661	4.80042
bc2113	contig_662	3.48067
bc2113	contig_2244	3.25468
bc2113	contig_663	3.57141
bc2113	contig_2245	4.87871
bc2113	contig_664	3.45128
bc2113	contig_2246	4.91229
bc2113	contig_665	2.77945
bc2113	contig_2247	3.37967
bc2113	contig_666	2.69523
bc2113	contig_2248	2.33744
bc2113	contig_667	6.49476
bc2113	contig_2249	3.59616
bc2113	contig_668	3.72144
bc2113	contig_669	9.23777
bc2113	contig_2700	2.82738
bc2113	contig_2701	5.21672
bc2113	contig_2702	5.07432
bc2113	contig_2703	2.92627
bc2113	contig_2704	5.63186
bc2113	contig_2705	4.68337
bc2113	contig_2706	3.65129
bc2113	contig_2707	4.77958
bc2113	contig_2708	3.67093
bc2113	contig_2709	4.06939
bc2113	contig_3570	4.64619
bc2113	contig_3571	3.46822
bc2113	contig_3572	6.75225
bc2113	contig_3573	6.4673
bc2113	contig_3574	2.67682
bc2113	contig_3575	2.52259
bc2113	contig_3576	4.46203
bc2113	contig_3577	3.2767
bc2113	contig_3578	6.42732
bc2113	contig_3579	4.31337
bc2113	contig_2250	4.89823
bc2113	contig_2251	6.87429
bc2113	contig_670	2.96667
bc2113	contig_2252	3.3135
bc2113	contig_671	5.57981
bc2113	contig_2253	4.18299
bc2113	contig_672	3.62506
bc2113	contig_2254	3.43971
bc2113	contig_673	3.94128
bc2113	contig_2255	5.53348
bc2113	contig_674	5.66304
bc2113	contig_2256	3.83565
bc2113	contig_675	6.39908
bc2113	contig_2257	3.45569
bc2113	contig_676	2.74845
bc2113	contig_2258	4.81233
bc2113	contig_677	2.38278
bc2113	contig_2259	3.94171
bc2113	contig_678	2.94187
bc2113	contig_679	3.24058
bc2113	contig_2710	3.90506
bc2113	contig_2711	3.37586
bc2113	contig_2712	4.1254
bc2113	contig_2713	4.20968
bc2113	contig_2714	2.69697
bc2113	contig_2715	3.11811
bc2113	contig_2716	2.78791
bc2113	contig_2717	7.46572
bc2113	contig_2718	2.8273
bc2113	contig_3580	3.13622
bc2113	contig_3581	2.99366
bc2113	contig_3582	3.27265
bc2113	contig_3583	5.10856
bc2113	contig_3584	5.3817
bc2113	contig_3585	2.53845
bc2113	contig_3586	6.57255
bc2113	contig_3587	3.73021
bc2113	contig_3588	4.29455
bc2113	contig_3589	4.23804
bc2113	contig_2260	5.2702
bc2113	contig_2261	4.10629
bc2113	contig_680	8.23931
bc2113	contig_2262	3.59187
bc2113	contig_681	4.51
bc2113	contig_2263	4.27168
bc2113	contig_682	7.10931
bc2113	contig_683	4.26278
bc2113	contig_2265	6.79798
bc2113	contig_684	3.20243
bc2113	contig_685	8.08552
bc2113	contig_2267	5.10641
bc2113	contig_686	5.96734
bc2113	contig_2268	2.76999
