Name,Completeness,Contamination,Contig_Number,Contig_Names,Contig_Lengths,Contig_Depths,Avg_Depth,Coding_Density,Average_Gene_Length,Genome_Size,GC_Content,Total_Coding_Sequences,classification,closest_genome_reference,closest_placement_ani,closest_placement_af,classification_method,note,"other_related_references(genome_id,species_name,radius,ANI,AF)",warnings,Sample_Name,MAG_Identifier,class_tree_mapped
metabat2.1,100.0,0.68,2,"contig_449, contig_564","4035869, 565274","42, 43",42,0.895,324.780378250591,4601143,0.36,4230,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Weeksellaceae;g__Elizabethkingia;s__Elizabethkingia miricola,GCF_001675285.1,98.38,0.893,taxonomic classification defined by topology and ANI,topological placement and ANI have congruent species assignments,"GCF_002024805.1, s__Elizabethkingia bruuniana, 95.0, 93.35, 0.789; GCF_002023665.2, s__Elizabethkingia anophelis, 95.0, 92.34, 0.795; GCF_002023715.1, s__Elizabethkingia occulta, 95.0, 91.18, 0.736; GCF_001521765.1, s__Elizabethkingia ursingii, 95.0, 91.18, 0.71; GCF_003058195.1, s__Elizabethkingia sp003058195, 95.0, 90.79, 0.721; GCF_000367325.1, s__Elizabethkingia meningoseptica, 95.0, 81.68, 0.254",,bc2113,metabat2.1,3.0
semibin2_9,58.84,0.03,5,"contig_1098, contig_1099, contig_1215, contig_1534, contig_1536","264781, 1042037, 668317, 447873, 299154","10, 9, 9, 9, 9",9,0.879,325.5593635250918,2722162,0.62,2451,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Comamonas;s__Comamonas sp030064165,GCF_030064165.1,97.76,0.904,taxonomic classification defined by topology and ANI,topological placement and ANI have congruent species assignments,"GCA_031277805.1, s__Comamonas sp031277805, 95.0, 91.49, 0.78; GCF_014076415.1, s__Comamonas testosteroni_F, 95.0, 87.63, 0.57; GCF_030505195.1, s__Comamonas testosteroni_G, 95.0, 87.59, 0.561; GCA_019236485.1, s__Comamonas sp019236485, 95.0, 87.56, 0.409; GCF_000739375.1, s__Comamonas testosteroni_B, 95.0, 87.5, 0.553; GCF_011752915.1, s__Comamonas sp011752915, 95.0, 87.48, 0.527; GCF_008326825.1, s__Comamonas testosteroni_H, 95.0, 86.99, 0.568; GCF_000761245.1, s__Comamonas testosteroni_C, 95.0, 86.98, 0.563; GCF_000964545.1, s__Comamonas thiooxydans, 95.0, 86.9, 0.572; GCF_000241525.1, s__Comamonas testosteroni, 95.0, 86.51, 0.556; GCF_009360615.1, s__Comamonas sp009360615, 95.0, 86.26, 0.477; GCF_019186805.1, s__Comamonas fluminis, 95.0, 86.05, 0.524; GCA_003569915.1, s__Comamonas testosteroni_D, 95.0, 85.56, 0.481; GCA_008727115.1, s__Comamonas testosteroni_E, 95.0, 84.85, 0.39; GCA_014637085.1, s__Comamonas phosphati, 95.0, 84.33, 0.286; GCF_001544075.1, s__Comamonas terrae, 95.0, 84.23, 0.349; GCF_002754475.1, s__Comamonas sp002754475, 95.0, 83.88, 0.411; GCF_900564145.1, s__Comamonas sp900564145, 95.0, 83.77, 0.373; GCF_012844455.2, s__Comamonas suwonensis, 95.0, 83.7, 0.377; GCF_903815225.1, s__Comamonas tsuruhatensis_A, 95.0, 81.31, 0.177; GCF_019355935.1, s__Comamonas sp019355935, 95.0, 81.23, 0.219; GCF_001598795.1, s__Comamonas acidovorans, 95.43, 80.9, 0.188; GCA_031286585.1, s__Comamonas acidovorans_A, 95.33, 80.7, 0.173; GCF_001571325.1, s__Comamonas tsuruhatensis, 95.0, 80.52, 0.181",,bc2113,semibin2_9,1.0
metabat2.30,99.99,0.05,7,"contig_1360, contig_2205, contig_4393, contig_4404, contig_4440, contig_4559, contig_4698","47383, 108999, 1223603, 1006918, 809869, 454052, 97338","15, 16, 15, 14, 16, 15, 13",14,0.899,333.6902077151335,3748162,0.65,3370,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__Azospira;s__Azospira oryzae,GCF_004217225.1,96.06,0.906,taxonomic classification defined by topology and ANI,topological placement and ANI have congruent species assignments,"GCF_003112695.1, s__Azospira sp003112695, 95.0, 87.96, 0.506",,bc2113,metabat2.30,1.0
metabat2.32,99.2,1.14,12,"contig_1395, contig_2180, contig_2313, contig_323, contig_400, contig_4327, contig_4383, contig_4549, contig_606, contig_607, contig_83, contig_902","1030912, 34022, 387912, 2962829, 124971, 1100683, 81771, 31183, 70677, 466058, 451488, 361854","12, 10, 13, 16, 12, 12, 13, 11, 11, 13, 13, 12",12,0.902,341.90047923322686,7104360,0.44,6260,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Cyclobacteriaceae;g__ELB16-189;s__ELB16-189 sp023251155,GCA_023251155.1,98.93,0.892,taxonomic classification defined by topology and ANI,topological placement and ANI have congruent species assignments,,,bc2113,metabat2.32,3.0
semibin2_1,99.09,0.25,17,"contig_1037, contig_104, contig_107, contig_1116, contig_1401, contig_1619, contig_1632, contig_2523, contig_2966, contig_3556, contig_4223, contig_4483, contig_4586, contig_4588, contig_4776, contig_489, contig_669","132076, 153949, 411841, 468117, 105271, 389526, 27436, 135881, 57933, 38077, 375504, 219911, 52503, 51762, 192307, 31564, 84518","9, 10, 11, 9, 8, 10, 8, 10, 9, 8, 10, 10, 11, 9, 10, 9, 9",9,0.911,319.2703186537773,2928176,0.67,2793,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Qipengyuania;s__Qipengyuania sp016793865,GCA_016793865.1,98.53,0.89,taxonomic classification defined by topology and ANI,topological placement and ANI have congruent species assignments,"GCA_019745075.1, s__Qipengyuania sp019745075, 95.0, 82.18, 0.21; GCA_021794525.1, s__Qipengyuania sp021794525, 95.0, 81.42, 0.185; GCF_004358425.1, s__Qipengyuania sediminis, 95.0, 80.34, 0.151",,bc2113,semibin2_1,4.0
semibin2_2,99.99,0.92,21,"contig_106, contig_1435, contig_1648, contig_1710, contig_1802, contig_2380, contig_267, contig_2775, contig_3386, contig_4088, contig_4336, contig_4485, contig_4611, contig_4673, contig_735, contig_931, contig_932, contig_936, contig_944, contig_951, contig_99","1193461, 21271, 45904, 36965, 32416, 50494, 20907, 171971, 13249, 57259, 173180, 151283, 61181, 438065, 107021, 142119, 62502, 316583, 189522, 87211, 668629","9, 9, 6, 7, 9, 7, 6, 8, 6, 9, 8, 9, 7, 9, 7, 7, 6, 10, 7, 9, 11",7,0.908,307.50852557673016,4041193,0.65,3988,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas;s__Sphingomonas sp005502745,GCF_005502745.1,97.58,0.663,taxonomic classification defined by topology and ANI,topological placement and ANI have congruent species assignments,"GCF_001897375.1, s__Sphingomonas sp001897375, 95.0, 85.29, 0.369; GCF_013344685.1, s__Sphingomonas sp013344685, 95.0, 84.05, 0.32; GCA_017304125.1, s__Sphingomonas sp017304125, 95.0, 83.97, 0.17; GCF_937871615.1, s__Sphingomonas sp937871615, 95.0, 83.74, 0.299; GCF_029202845.1, s__Sphingomonas colombiensis, 95.0, 82.99, 0.292; GCF_026130605.1, s__Sphingomonas lycopersici, 95.0, 81.54, 0.172",,bc2113,semibin2_2,4.0
semibin2_7,90.96,0.23,40,"contig_1200, contig_1374, contig_1421, contig_1598, contig_1615, contig_1693, contig_1852, contig_1864, contig_2, contig_2553, contig_2894, contig_3098, contig_3099, contig_3232, contig_3280, contig_3296, contig_3511, contig_3780, contig_3839, contig_3910, contig_4010, contig_4192, contig_4273, contig_4300, contig_4317, contig_4363, contig_4454, contig_4501, contig_4502, contig_4555, contig_4576, contig_4577, contig_4758, contig_4782, contig_572, contig_777, contig_778, contig_8, contig_9, contig_993","216321, 63337, 169232, 42949, 36639, 279118, 96592, 139801, 87694, 95257, 156277, 197074, 29083, 119426, 207078, 28954, 63206, 83113, 127211, 45511, 71671, 162301, 123262, 197237, 183341, 19326, 435213, 116455, 201958, 89791, 387717, 340581, 122528, 173688, 87379, 282074, 65522, 274825, 126522, 193711","8, 7, 8, 7, 7, 7, 7, 7, 7, 9, 8, 7, 8, 9, 7, 7, 7, 8, 7, 9, 9, 7, 8, 8, 7, 7, 8, 8, 8, 6, 7, 8, 7, 7, 6, 9, 7, 8, 7, 9",7,0.895,333.4781954887218,5938975,0.67,5320,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Comamonas;s__Comamonas acidovorans_A,GCA_031286585.1,95.34,0.839,taxonomic classification defined by topology and ANI,,"GCF_001571325.1, s__Comamonas tsuruhatensis, 95.0, 93.98, 0.796; GCF_903815225.1, s__Comamonas tsuruhatensis_A, 95.0, 90.33, 0.669; GCA_031253795.1, s__Comamonas sp031253795, 95.0, 88.83, 0.658; GCF_029870285.1, s__Comamonas sp029870285, 95.0, 86.72, 0.441; GCA_019236485.1, s__Comamonas sp019236485, 95.0, 84.5, 0.195; GCF_001544075.1, s__Comamonas terrae, 95.0, 83.8, 0.264; GCA_014637085.1, s__Comamonas phosphati, 95.0, 83.58, 0.255; GCF_000429845.1, s__Comamonas composti, 95.0, 81.66, 0.19; GCF_000241525.1, s__Comamonas testosteroni, 95.0, 81.07, 0.153; GCF_000739875.1, s__Comamonas aquatica, 95.0, 81.03, 0.168; GCF_011752915.1, s__Comamonas sp011752915, 95.0, 80.95, 0.156",,bc2113,semibin2_7,1.0
metabat2.26,94.89,1.86,42,"contig_1055, contig_1087, contig_1183, contig_1409, contig_1410, contig_1544, contig_1584, contig_1728, contig_1931, contig_2470, contig_252, contig_2691, contig_2859, contig_2916, contig_3025, contig_359, contig_3966, contig_4130, contig_4199, contig_4225, contig_4308, contig_4322, contig_4362, contig_4389, contig_4414, contig_4448, contig_4452, contig_4472, contig_4475, contig_4522, contig_4541, contig_4548, contig_4608, contig_4628, contig_469, contig_4732, contig_4772, contig_4780, contig_4783, contig_4791, contig_510, contig_567","68629, 36804, 37157, 59948, 42856, 74486, 58298, 72216, 118640, 83636, 57363, 97112, 74743, 44323, 66943, 62149, 103938, 79408, 134362, 100351, 75795, 68954, 58716, 238318, 70023, 222119, 224555, 99872, 46484, 53411, 57466, 180152, 134172, 58529, 114135, 148454, 72542, 118008, 42898, 121790, 69120, 140991","5, 7, 7, 7, 8, 6, 5, 5, 6, 5, 5, 5, 8, 8, 6, 4, 6, 7, 6, 6, 7, 6, 6, 7, 5, 7, 7, 6, 6, 6, 7, 7, 8, 4, 7, 7, 5, 5, 6, 5, 5, 7",6,0.892,317.8242723778144,3889866,0.35,3642,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Weeksellaceae;g__Chryseobacterium;s__,,93.96,0.81,taxonomic classification defined by topology and ANI,classification based on placement in class-level tree,"GCF_002797535.1, s__Chryseobacterium geocarposphaerae, 95.0, 88.87, 0.647; GCF_016735585.2, s__Chryseobacterium tagetis, 95.0, 86.99, 0.541; GCF_000813825.1, s__Chryseobacterium taiwanense, 95.0, 86.36, 0.494; GCF_021311115.1, s__Chryseobacterium gwangjuense, 95.0, 85.85, 0.487; GCF_027920545.1, s__Chryseobacterium camelliae_B, 95.0, 85.46, 0.467; GCF_900129245.1, s__Chryseobacterium arachidis, 95.0, 81.77, 0.198; GCF_026540445.1, s__Chryseobacterium sp002455915, 95.0, 81.63, 0.174; GCF_024807225.1, s__Chryseobacterium ginsenosidimutans, 95.0, 81.41, 0.189; GCF_024806495.1, s__Chryseobacterium sp024806495, 95.0, 81.4, 0.193; GCF_030823405.1, s__Chryseobacterium ginsenosidimutans_A, 95.0, 81.32, 0.185; GCF_900111495.1, s__Chryseobacterium wanjuense, 95.0, 81.19, 0.161; GCF_000708615.2, s__Chryseobacterium hispalense, 95.0, 81.04, 0.151; GCF_900636535.1, s__Chryseobacterium gleum, 95.0, 81.02, 0.154; GCF_018603435.1, s__Chryseobacterium sp013153155, 95.0, 80.95, 0.166; GCF_001425355.1, s__Chryseobacterium sp001425355, 95.0, 80.87, 0.176; GCF_001045455.1, s__Chryseobacterium sp001045455, 95.0, 80.74, 0.163; GCF_900156075.1, s__Chryseobacterium sp900156075, 95.0, 80.73, 0.165; GCF_900156825.1, s__Chryseobacterium gambrini, 95.0, 80.65, 0.157; GCF_025971925.1, s__Chryseobacterium oryctis, 95.0, 80.21, 0.157; GCF_002177115.1, s__Chryseobacterium mucoviscidosis, 95.0, 80.16, 0.154",Genome not assigned to closest species as it falls outside its pre-defined ANI radius,bc2113,metabat2.26,3.0
complete.47,100.0,0.54,1,contig_543,5649865,17,17,0.874,315.1316896024465,5649865,0.56,5232,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella;s__Klebsiella planticola,GCF_000735435.1,99.32,0.921,taxonomic classification defined by topology and ANI,topological placement and ANI have congruent species assignments,"GCF_001598295.1, s__Klebsiella ornithinolytica, 95.0, 95.32, 0.861; GCF_006711645.1, s__Klebsiella electrica, 95.0, 93.06, 0.728; GCF_004342285.1, s__Klebsiella sp004342285, 95.0, 89.59, 0.67; GCF_014298075.1, s__Klebsiella sp003752615, 95.0, 88.03, 0.651; GCF_006539725.1, s__Klebsiella terrigena, 95.0, 86.28, 0.557; GCF_002270295.1, s__Klebsiella sp002270295, 95.0, 86.08, 0.55; GCA_902490055.1, s__Klebsiella sp902490055, 95.0, 85.14, 0.342; GCF_002925905.1, s__Klebsiella michiganensis, 95.0, 84.86, 0.443; GCF_900200035.1, s__Klebsiella grimontii, 95.0, 84.52, 0.425; GCF_001598695.1, s__Klebsiella oxytoca, 95.0, 84.37, 0.409; GCF_009707385.1, s__Klebsiella oxytoca_C, 95.0, 84.24, 0.405; GCF_003261575.2, s__Klebsiella huaxiensis, 95.0, 84.21, 0.389; GCA_013705725.1, s__Klebsiella sp013705725, 95.0, 84.18, 0.393; GCA_029027985.1, s__Klebsiella aerogenes_A, 95.0, 84.1, 0.419; GCF_020526085.1, s__Klebsiella africana, 95.0, 83.91, 0.394; GCF_002269255.1, s__Klebsiella quasivariicola, 95.0, 83.86, 0.379; GCF_000215745.1, s__Klebsiella aerogenes, 95.0, 83.85, 0.4; GCF_020525925.1, s__Klebsiella quasipneumoniae, 95.0, 83.82, 0.409; GCF_000828055.2, s__Klebsiella variicola, 95.0, 83.75, 0.402; GCF_000742135.1, s__Klebsiella pneumoniae, 95.0, 83.74, 0.386; GCF_902158555.1, s__Klebsiella spallanzanii, 95.0, 83.65, 0.389; GCF_005860775.1, s__Klebsiella indica, 95.0, 83.16, 0.329",,bc2114,complete.47,1.0
metabat2.2,100.0,0.2,2,"contig_346, contig_41","1112401, 3222849","59, 63",61,0.892,324.2327975891512,4335250,0.36,3982,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Weeksellaceae;g__Elizabethkingia;s__Elizabethkingia bruuniana,GCF_002024805.1,97.75,0.891,taxonomic classification defined by topology and ANI,topological placement and ANI have congruent species assignments,"GCF_001675285.1, s__Elizabethkingia miricola, 95.0, 93.99, 0.812; GCF_002023665.2, s__Elizabethkingia anophelis, 95.0, 91.83, 0.779; GCF_001521765.1, s__Elizabethkingia ursingii, 95.0, 91.6, 0.741; GCF_003058195.1, s__Elizabethkingia sp003058195, 95.0, 90.99, 0.758; GCF_002023715.1, s__Elizabethkingia occulta, 95.0, 90.92, 0.736; GCF_000367325.1, s__Elizabethkingia meningoseptica, 95.0, 81.5, 0.243",,bc2114,metabat2.2,3.0
