Sample_Name,MAG_Identifier,Contig,Start,Stop,ORF_ID,Best_Hit_ARO,Resistance Mechanism,AMR_Gene_Family,Antibiotic,Drug Class,Model_Type,Percent of Sequence,Identity_perc
bc2113,metabat2.1,contig_449_215,225769,228219,,vanT gene in vanG cluster,antibiotic target alteration,glycopeptide resistance gene cluster; vanT,vancomycin,glycopeptide antibiotic,Strict,114.61,34.01
bc2113,metabat2.1,contig_449_625,660352,663528,,adeF,antibiotic efflux,resistance-nodulation-cell division (RND) antibiotic efflux pump,tetracycline,fluoroquinolone antibiotic; tetracycline antibiotic,Strict,99.91,41.49
bc2113,metabat2.1,contig_449_752,783299,784003,,vanW gene in vanG cluster,antibiotic target alteration,vanW; glycopeptide resistance gene cluster,vancomycin,glycopeptide antibiotic,Strict,83.27,33.76
bc2113,metabat2.1,contig_449_1243,1290793,1293915,,adeF,antibiotic efflux,resistance-nodulation-cell division (RND) antibiotic efflux pump,tetracycline,fluoroquinolone antibiotic; tetracycline antibiotic,Strict,98.21,41.69
bc2113,metabat2.1,contig_449_1664,1778146,1779039,,CME-2,antibiotic inactivation,CME beta-lactamase,4463,penicillin beta-lactam,Strict,100.00,93.6
bc2113,metabat2.1,contig_449_1671,1785358,1785690,,qacG,antibiotic efflux,small multidrug resistance (SMR) antibiotic efflux pump,benzalkonium chloride,disinfecting agents and antiseptics,Strict,102.80,45.37
bc2113,metabat2.1,contig_449_3231,3463296,3464045,,BlaB-38,antibiotic inactivation,BlaB beta-lactamase,4399,carbapenem; penicillin beta-lactam,Perfect,100.00,100.0
bc2113,metabat2.1,contig_449_3488,3740111,3740983,,GOB-23,antibiotic inactivation,GOB beta-lactamase,4636,carbapenem; cephalosporin; penicillin beta-lactam,Perfect,100.00,100.0
bc2113,metabat2.1,contig_564_358,407037,407366,,qacG,antibiotic efflux,small multidrug resistance (SMR) antibiotic efflux pump,benzalkonium chloride,disinfecting agents and antiseptics,Strict,101.87,52.83
bc2113,metabat2.1,contig_564_361,410020,410883,,aadS,antibiotic inactivation,ANT(6),streptomycin,aminoglycoside antibiotic,Perfect,100.00,100.0
bc2113,metabat2.26,contig_4389_214,228083,230530,,vanT gene in vanG cluster,antibiotic target alteration,glycopeptide resistance gene cluster; vanT,vancomycin,glycopeptide antibiotic,Strict,114.47,35.75
bc2113,metabat2.30,contig_1360_29,35599,35925,,qacG,antibiotic efflux,small multidrug resistance (SMR) antibiotic efflux pump,benzalkonium chloride,disinfecting agents and antiseptics,Strict,100.93,39.76
bc2113,metabat2.30,contig_4393_852,935063,938260,,adeF,antibiotic efflux,resistance-nodulation-cell division (RND) antibiotic efflux pump,tetracycline,fluoroquinolone antibiotic; tetracycline antibiotic,Strict,100.57,84.23
bc2113,metabat2.30,contig_4698_25,36182,39316,,adeF,antibiotic efflux,resistance-nodulation-cell division (RND) antibiotic efflux pump,tetracycline,fluoroquinolone antibiotic; tetracycline antibiotic,Strict,98.58,44.88
bc2113,metabat2.32,contig_1395_669,728692,731844,,adeF,antibiotic efflux,resistance-nodulation-cell division (RND) antibiotic efflux pump,tetracycline,fluoroquinolone antibiotic; tetracycline antibiotic,Strict,99.15,41.34
bc2113,metabat2.32,contig_323_664,765628,766620,,vanH gene in vanD cluster,antibiotic target alteration,vanH; glycopeptide resistance gene cluster,vancomycin; teicoplanin,glycopeptide antibiotic,Strict,102.17,34.18
bc2113,metabat2.32,contig_323_1154,1301394,1303838,,vanT gene in vanG cluster,antibiotic target alteration,glycopeptide resistance gene cluster; vanT,vancomycin,glycopeptide antibiotic,Strict,114.33,34.99
bc2113,semibin2,contig_104_23,20852,21184,,qacL,antibiotic efflux,small multidrug resistance (SMR) antibiotic efflux pump,3830,disinfecting agents and antiseptics,Strict,100.00,93.64
bc2113,semibin2,contig_104_24,21326,22153,,OXA-2,antibiotic inactivation,OXA beta-lactamase; OXA-2-like beta-lactamase,oxacillin; ceftazidime; amoxicillin; meropenem; ampicillin,carbapenem; cephalosporin; penicillin beta-lactam,Perfect,100.00,100.0
bc2113,semibin2,contig_104_25,22223,22777,,AAC(6')-IIa,antibiotic inactivation,AAC(6'),dibekacin; sisomicin; netilmicin; tobramycin; 2'-N-ethylnetilmicin; 5-episisomicin; gentamicin,aminoglycoside antibiotic,Strict,100.00,87.5
bc2113,semibin2,contig_104_26,22830,23657,,OXA-2,antibiotic inactivation,OXA beta-lactamase; OXA-2-like beta-lactamase,oxacillin; ceftazidime; amoxicillin; meropenem; ampicillin,carbapenem; cephalosporin; penicillin beta-lactam,Perfect,100.00,100.0
bc2113,semibin2,contig_104_27,23775,24488,,ANT(2'')-Ia,antibiotic inactivation,ANT(2''),dibekacin; sisomicin; kanamycin A; tobramycin; gentamicin,aminoglycoside antibiotic,Strict,133.90,97.18
bc2113,semibin2,contig_1116_157,163926,167120,,adeF,antibiotic efflux,resistance-nodulation-cell division (RND) antibiotic efflux pump,tetracycline,fluoroquinolone antibiotic; tetracycline antibiotic,Strict,100.47,50.48
bc2113,semibin2,contig_106_151,137109,137936,,OXA-2,antibiotic inactivation,OXA beta-lactamase; OXA-2-like beta-lactamase,oxacillin; ceftazidime; amoxicillin; meropenem; ampicillin,carbapenem; cephalosporin; penicillin beta-lactam,Perfect,100.00,100.0
bc2113,semibin2,contig_106_152,138006,138560,,AAC(6')-IIa,antibiotic inactivation,AAC(6'),dibekacin; sisomicin; netilmicin; tobramycin; 2'-N-ethylnetilmicin; 5-episisomicin; gentamicin,aminoglycoside antibiotic,Strict,100.00,87.5
bc2113,semibin2,contig_106_153,138613,139440,,OXA-2,antibiotic inactivation,OXA beta-lactamase; OXA-2-like beta-lactamase,oxacillin; ceftazidime; amoxicillin; meropenem; ampicillin,carbapenem; cephalosporin; penicillin beta-lactam,Perfect,100.00,100.0
bc2113,semibin2,contig_106_154,139558,140091,,ANT(2'')-Ia,antibiotic inactivation,ANT(2''),dibekacin; sisomicin; kanamycin A; tobramycin; gentamicin,aminoglycoside antibiotic,Strict,100.00,97.18
bc2113,semibin2,contig_106_498,516413,517183,,vanY gene in vanB cluster,antibiotic target alteration,vanY; glycopeptide resistance gene cluster,vancomycin,glycopeptide antibiotic,Strict,95.52,42.86
bc2113,semibin2,contig_2775_84,85128,88295,,adeF,antibiotic efflux,resistance-nodulation-cell division (RND) antibiotic efflux pump,tetracycline,fluoroquinolone antibiotic; tetracycline antibiotic,Strict,99.62,41.27
bc2113,semibin2,contig_3098_161,169570,172812,,adeF,antibiotic efflux,resistance-nodulation-cell division (RND) antibiotic efflux pump,tetracycline,fluoroquinolone antibiotic; tetracycline antibiotic,Strict,101.98,70.43
bc2113,semibin2,contig_4010_79,65954,69109,,adeF,antibiotic efflux,resistance-nodulation-cell division (RND) antibiotic efflux pump,tetracycline,fluoroquinolone antibiotic; tetracycline antibiotic,Strict,99.24,42.59
bc2113,semibin2,contig_4782_89,103041,103376,,qacG,antibiotic efflux,small multidrug resistance (SMR) antibiotic efflux pump,benzalkonium chloride,disinfecting agents and antiseptics,Strict,103.74,48.61
bc2113,semibin2,contig_777_196,216884,220078,,adeF,antibiotic efflux,resistance-nodulation-cell division (RND) antibiotic efflux pump,tetracycline,fluoroquinolone antibiotic; tetracycline antibiotic,Strict,100.47,57.88
bc2113,semibin2,contig_1536_23,27183,27593,,FosA8,antibiotic inactivation,fosfomycin thiol transferase,fosfomycin,phosphonic acid antibiotic,Strict,96.45,55.88
bc2114,complete.47,contig_543_240,264661,266352,,eptB,antibiotic target alteration,pmr phosphoethanolamine transferase,polymyxin B; colistin A; colistin B,peptide antibiotic,Strict,98.08,90.07
bc2114,complete.47,contig_543_310,355519,356502,,PmrF,antibiotic target alteration,pmr phosphoethanolamine transferase,polymyxin B,peptide antibiotic,Strict,101.55,83.9
bc2114,complete.47,contig_543_313,359380,361035,,ArnT,antibiotic target alteration,pmr phosphoethanolamine transferase,colistin A; colistin B,peptide antibiotic,Strict,100.00,88.02
bc2114,complete.47,contig_543_426,485412,486044,,CRP,antibiotic efflux,resistance-nodulation-cell division (RND) antibiotic efflux pump,erythromycin; cloxacillin; oxacillin; norfloxacin,macrolide antibiotic; fluoroquinolone antibiotic; penicillin beta-lactam,Strict,100.00,99.05
bc2114,complete.47,contig_543_1151,1219524,1219709,,rsmA,antibiotic efflux,resistance-nodulation-cell division (RND) antibiotic efflux pump,trimethoprim; chloramphenicol,fluoroquinolone antibiotic; diaminopyrimidine antibiotic; phenicol antibiotic,Strict,100.00,85.25
bc2114,complete.47,contig_543_1159,1227904,1229442,,emrB,antibiotic efflux,major facilitator superfamily (MFS) antibiotic efflux pump,nalidixic acid,fluoroquinolone antibiotic,Strict,100.00,93.63
bc2114,complete.47,contig_543_1160,1229458,1230630,,Klebsiella pneumoniae KpnG,antibiotic efflux,major facilitator superfamily (MFS) antibiotic efflux pump,erythromycin; gentamicin C; ciprofloxacin; spectinomycin; streptomycin; tobramycin; ceftazidime; ertapenem; piperacillin; azithromycin; imipenem; polymyxin B; polymyxin B1; polymyxin B2; polymyxin B3; polymyxin B4; norfloxacin; ticarcillin; gentamicin,macrolide antibiotic; fluoroquinolone antibiotic; aminoglycoside antibiotic; carbapenem; cephalosporin; penicillin beta-lactam; peptide antibiotic,Strict,100.00,94.87
bc2114,complete.47,contig_543_1161,1230761,1231291,,emrR,antibiotic efflux,major facilitator superfamily (MFS) antibiotic efflux pump,nalidixic acid,fluoroquinolone antibiotic,Strict,100.00,93.14
bc2114,complete.47,contig_543_1230,1301878,1305030,,oqxB,antibiotic efflux,resistance-nodulation-cell division (RND) antibiotic efflux pump,tigecycline; ciprofloxacin; nitrofurantoin; trimethoprim,fluoroquinolone antibiotic; glycylcycline; tetracycline antibiotic; diaminopyrimidine antibiotic; nitrofuran antibiotic,Strict,100.00,96.47
bc2114,complete.47,contig_543_1365,1459573,1462686,,acrD,antibiotic efflux,resistance-nodulation-cell division (RND) antibiotic efflux pump,neomycin; amikacin; kanamycin A; tobramycin; gentamicin,aminoglycoside antibiotic,Strict,100.00,89.01
bc2114,complete.47,contig_543_1657,1801944,1805021,,mdtC,antibiotic efflux,resistance-nodulation-cell division (RND) antibiotic efflux pump,novobiocin,aminocoumarin antibiotic,Strict,100.00,91.12
bc2114,complete.47,contig_543_1658,1805022,1808144,,mdtB,antibiotic efflux,resistance-nodulation-cell division (RND) antibiotic efflux pump,novobiocin,aminocoumarin antibiotic,Strict,100.00,90.77
